unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,date.processed,num.nodules,notes
3,21,0.6,0,1,ACAM,BRHO,6,focal,,,
5,22,0.6,0,1,ACAM,BRHO,18,focal,07/31/2024,0,"Asterisk on bottle, non-root vegetation found in sample with some leaves-left toward top of sample container"
9,11,0.6,0,1,ACAM,BRHO,60,focal,,,
13,3,0.75,0,1,ACAM,BRHO,6,focal,,,
15,29,0.75,0,1,ACAM,BRHO,18,focal,07/25/2024,306,Asterisk on bottle
19,9,0.75,0,1,ACAM,BRHO,60,focal,,,
23,3,1,0,1,ACAM,BRHO,6,focal,,,
25,10,1,0,1,ACAM,BRHO,18,focal,08/06/2024,627,
29,19,1,0,1,ACAM,BRHO,60,focal,,,
33,29,0.6,0,2,ACAM,BRHO,6,focal,,,
35,2,0.6,0,2,ACAM,BRHO,18,focal,07/31/2024,0,
39,3,0.6,0,2,ACAM,BRHO,60,focal,,,
43,4,0.75,0,2,ACAM,BRHO,6,focal,,,
45,42,0.75,0,2,ACAM,BRHO,18,focal,08/01/2024,0,
49,27,0.75,0,2,ACAM,BRHO,60,focal,,,
53,20,1,0,2,ACAM,BRHO,6,focal,,,
55,2,1,0,2,ACAM,BRHO,18,focal,08/13/2024,0,
59,28,1,0,2,ACAM,BRHO,60,focal,,,
63,9,0.6,0,3,ACAM,BRHO,6,focal,,,
65,20,0.6,0,3,ACAM,BRHO,18,focal,08/08/2024,0,
69,1,0.6,0,3,ACAM,BRHO,60,focal,,,
73,21,0.75,0,3,ACAM,BRHO,6,focal,,,
75,1,0.75,0,3,ACAM,BRHO,18,focal,08/13/2024,0,
79,29,0.75,0,3,ACAM,BRHO,60,focal,,,
83,30,1,0,3,ACAM,BRHO,6,focal,,,
85,19,1,0,3,ACAM,BRHO,18,focal,08/27/2024,14,
89,28,1,0,3,ACAM,BRHO,60,focal,,,
93,10,0.6,0,4,ACAM,BRHO,6,focal,,,
95,2,0.6,0,4,ACAM,BRHO,18,focal,08/08/2024,0,
99,28,0.6,0,4,ACAM,BRHO,60,focal,,,
103,27,0.75,0,4,ACAM,BRHO,6,focal,,,
105,20,0.75,0,4,ACAM,BRHO,18,focal,07/30/2024,0,Asterisk on bottle
109,20,0.75,0,4,ACAM,BRHO,60,focal,,,
113,29,1,0,4,ACAM,BRHO,6,focal,,,
115,2,1,0,4,ACAM,BRHO,18,focal,08/15/2024,0,"Sample can't be used, roots were washed under a different protocol"
119,21,1,0,4,ACAM,BRHO,60,focal,,,
153,38,0.6,1,1,ACAM,BRHO,6,focal,,,
155,35,0.6,1,1,ACAM,BRHO,18,focal,08/20/2024,326,
159,23,0.6,1,1,ACAM,BRHO,60,focal,,,
163,13,0.75,1,1,ACAM,BRHO,6,focal,,,
165,16,0.75,1,1,ACAM,BRHO,18,focal,08/15/2024,430,
169,40,0.75,1,1,ACAM,BRHO,60,focal,,,
173,17,1,1,1,ACAM,BRHO,6,focal,,,
175,25,1,1,1,ACAM,BRHO,18,focal,07/16/2024,522,Asterisk on bottle
179,16,1,1,1,ACAM,BRHO,60,focal,07/02/2024,888,
183,32,0.6,1,2,ACAM,BRHO,6,focal,,,
185,6,0.6,1,2,ACAM,BRHO,18,focal,08/08/2024,260,
189,16,0.6,1,2,ACAM,BRHO,60,focal,,,
193,33,0.75,1,2,ACAM,BRHO,6,focal,,,
195,37,0.75,1,2,ACAM,BRHO,18,focal,,,
199,35,0.75,1,2,ACAM,BRHO,60,focal,,,
203,5,1,1,2,ACAM,BRHO,6,focal,,,
205,13,1,1,2,ACAM,BRHO,18,focal,07/23/2024,744,
209,15,1,1,2,ACAM,BRHO,60,focal,,,
213,18,0.6,1,3,ACAM,BRHO,6,focal,,,
215,14,0.6,1,3,ACAM,BRHO,18,focal,,,
219,26,0.6,1,3,ACAM,BRHO,60,focal,,,
223,36,0.75,1,3,ACAM,BRHO,6,focal,,,
225,8,0.75,1,3,ACAM,BRHO,18,focal,,,
229,40,0.75,1,3,ACAM,BRHO,60,focal,,,
233,39,1,1,3,ACAM,BRHO,6,focal,,,
235,41,1,1,3,ACAM,BRHO,18,focal,07/18/2024,427,Asterisk on bottle
239,32,1,1,3,ACAM,BRHO,60,focal,,,
243,32,0.6,1,4,ACAM,BRHO,6,focal,,,
245,39,0.6,1,4,ACAM,BRHO,18,focal,,,
249,39,0.6,1,4,ACAM,BRHO,60,focal,,,
253,5,0.75,1,4,ACAM,BRHO,6,focal,,,
255,14,0.75,1,4,ACAM,BRHO,18,focal,,,
259,13,0.75,1,4,ACAM,BRHO,60,focal,,,
263,41,1,1,4,ACAM,BRHO,6,focal,,,
265,5,1,1,4,ACAM,BRHO,18,focal,08/09/2024,,
269,18,1,1,4,ACAM,BRHO,60,focal,,,
273,34,0.6,1,5,ACAM,BRHO,6,focal,,,
283,34,0.75,1,5,ACAM,BRHO,6,focal,,,