rep,material,ideal_weight_g,as_is_weight_g,date_as_is_weight,date_in_oven,time_in_oven,dry_weight_g,date_first_dry_weight,time_first_dry_weight,notes
1,field soil,100,100.6,11/2/2023,11/2/2023,18:20,93.86,11/4/2023,16:45,
2,field soil,100,100.1,11/2/2023,11/2/2023,18:20,92.5,11/4/2023,16:45,
3,field soil,100,99.9,11/2/2023,11/2/2023,18:20,93.17,11/4/2023,16:45,
4,field soil,100,100.1,11/2/2023,11/2/2023,18:20,92.54,11/4/2023,16:45,
5,field soil,100,99.4,11/2/2023,11/2/2023,18:20,92.45,11/4/2023,16:45,
6,field soil,100,99.8,11/2/2023,11/2/2023,18:20,93.2,11/4/2023,16:45,
7,field soil,100,100.5,11/2/2023,11/2/2023,18:20,93.51,11/4/2023,16:45,
8,field soil,100,100.4,11/2/2023,11/2/2023,18:20,93.47,11/4/2023,16:45,
9,field soil,100,100.3,11/2/2023,11/2/2023,18:20,93.24,11/4/2023,16:45,
10,field soil,100,99.6,11/2/2023,11/2/2023,18:20,92.36,11/4/2023,16:45,
1,sand,100,100.4,11/2/2023,11/2/2023,18:20,93.85,11/4/2023,16:45,
2,sand,100,99.9,11/2/2023,11/2/2023,18:20,93.46,11/4/2023,16:45,
3,sand,100,100.4,11/2/2023,11/2/2023,18:20,93.65,11/4/2023,16:45,
4,sand,100,100.4,11/2/2023,11/2/2023,18:20,93.96,11/4/2023,16:45,
5,sand,100,99.8,11/2/2023,11/2/2023,18:20,93.55,11/4/2023,16:45,
6,sand,100,99.9,11/2/2023,11/2/2023,18:20,93.42,11/4/2023,16:45,
7,sand,100,100.6,11/2/2023,11/2/2023,18:20,94.62,11/4/2023,16:45,
8,sand,100,100.4,11/2/2023,11/2/2023,18:20,94.52,11/4/2023,16:45,
9,sand,100,99.9,11/2/2023,11/2/2023,18:20,93.78,11/4/2023,16:45,
10,sand,100,100.1,11/2/2023,11/2/2023,18:20,93.9,11/4/2023,16:45,