bkgrd,focal,water.saturation,soil_sand_ratio,rep,soil_vol_L,sand_vol_L,soil_as_is_weight_g,sand_as_is_weight_g,empty_pot_weight_g,pot_weight_pre_saturation,VWC_pre_saturation,time_saturated,date_saturated,VWC_immediately_post_saturation,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,notes,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,notes
ACAM,BRHO,100,100_0,1,0.9,0,912.8,0,30.9,943.9,5.4,4:22:00 PM,11/02/2023,,50.9,1247.9,9:22:00 AM,11/3/2022,41.3,1224.4,4:27:00 PM,11/3/2023,,39.7,1210.4,5:13:00 PM,11/4/2023,
ACAM,BRHO,100,100_0,2,0.9,0,973.1,0,29.3,1002.5,6.9,4:22:00 PM,11/02/2023,50.8,47.6,1313.7,9:20:00 AM,11/3/2022,39.5,1287.7,4:23:00 PM,11/3/2023,,38.4,1272.6,5:11:00 PM,11/4/2023,
ACAM,BRHO,100,100_0,3,0.9,0,826.5,0,28,854.6,6.1,4:22:00 PM,11/02/2023,54.4,51.7,1135.4,9:19:00 AM,11/3/2022,41.8,1114,4:26:00 PM,11/3/2023,,40.9,1098.3,5:14:00 PM,11/4/2023,
ACAM,BRHO,100,100_0,4,0.9,0,934,0,27.9,961.6,3,4:22:00 PM,11/02/2023,43.1,47.5,1253.2,9:17:00 AM,11/3/2022,39.6,1229.3,4:24:00 PM,11/3/2023,,38.2,1215.2,5:15:00 PM,11/4/2023,
ACAM,BRHO,100,100_0,5,0.9,0,900.4,0,30.2,930.7,5,4:22:00 PM,11/02/2023,51.5,45,1243.7,8:46:00 AM,11/3/2022,41.8,1217.1,4:22:00 PM,11/3/2023,,38,1198.2,5:12:00 PM,11/4/2023,
ACAM,BRHO,100,75_25,1,0.675,0.225,749.4,304,27.9,1078.8,2,4:41:00 PM,11/02/2023,47.6,44.3,1346,8:55:00 AM,11/3/2022,38.8,1331,4:09:00 PM,11/3/2023,wet bottom but done actively dripping,37.2,1308.5,5:06:00 PM,11/4/2023,
ACAM,BRHO,100,75_25,2,0.675,0.225,735.5,268.9,27.8,1032.5,3.1,4:41:00 PM,11/02/2023,46,48.2,1298.7,8:49:00 AM,11/3/2022,37.3,1275.8,4:15:00 PM,11/3/2023,,37,1260.8,5:09:00 PM,11/4/2023,
ACAM,BRHO,100,75_25,3,0.675,0.225,714.7,291,27.6,1032.9,1.9,4:41:00 PM,11/02/2023,44.5,48.9,1305.9,8:51:00 AM,11/3/2022,39.2,1280.3,4:19:00 PM,11/3/2023,,36.7,1262,5:08:00 PM,11/4/2023,
ACAM,BRHO,100,75_25,4,0.675,0.225,746.8,297.3,30.1,1073.7,3.4,4:41:00 PM,11/02/2023,42.1,49.7,1350,8:53:00 AM,11/3/2022,39.2,1328.7,4:13:00 PM,11/3/2023,wet bottom but done actively dripping,37.8,1309.5,5:03:00 PM,11/4/2023,
ACAM,BRHO,100,75_25,5,0.675,0.225,717.8,289.1,30.1,1036.5,3.5,4:41:00 PM,11/02/2023,42.6,47.1,1297.5,8:56:00 AM,11/3/2022,39.2,1275.6,4:17:00 PM,11/3/2023,,37.4,1257.2,5:10:00 PM,11/4/2023,
ACAM,BRHO,100,60_40,1,0.54,0.36,621.3,541.7,30,1090.5,2.3,5:05:00 PM,11/02/2023,41.1,44.9,1434.2,9:14:00 AM,11/3/2022,37,1415.2,4:41:00 PM,11/3/2023,,34.8,1398.6,5:18:00 PM,11/4/2023,
ACAM,BRHO,100,60_40,2,0.54,0.36,563.9,413.3,30.4,1007.4,2.8,5:05:00 PM,11/02/2023,40.1,44.8,1241.1,9:15:00 AM,11/3/2022,36.7,1218.2,4:39:00 PM,11/3/2023,,35.1,1203.9,5:19:00 PM,11/4/2023,
ACAM,BRHO,100,60_40,3,0.54,0.36,651.8,430.1,27.9,998.8,2.6,5:05:00 PM,11/02/2023,36.9,44.6,1217,9:12:00 AM,11/3/2022,37.6,1197.7,4:43:00 PM,11/3/2023,,34.7,1183.2,5:20:00 PM,11/4/2023,
ACAM,BRHO,100,60_40,4,0.54,0.36,595.6,436.7,27.7,1058.2,4.8,5:05:00 PM,11/02/2023,45.5,43.8,1295.9,9:11:00 AM,11/3/2022,37.9,1273.2,4:44:00 PM,11/3/2023,,36.4,1261.2,5:19:00 PM,11/4/2023,
ACAM,BRHO,100,60_40,5,0.54,0.36,685.5,531.9,28.2,1023.4,4.4,5:05:00 PM,11/02/2023,40.4,41.6,1250.4,9:09:00 AM,11/3/2022,36.1,1225.1,4:40:00 PM,11/3/2023,,34.3,1207.4,5:16:00 PM,11/4/2023,
ACAM,BRHO,100,50_50,1,0.45,0.45,451.3,621.7,28.2,1098.7,6.7,5:39:00 PM,11/02/2023,43.3,39.3,1313.7,9:02:00 AM,11/3/2022,37.2,1291.1,4:29:00 PM,11/3/2023,,34,1268.2,5:24:00 PM,11/4/2023,
ACAM,BRHO,100,50_50,2,0.45,0.45,489.8,604.6,30.4,1122.4,7.2,5:39:00 PM,11/02/2023,,39.7,1346,9:05:00 AM,11/3/2022,36.5,1322.9,4:34:00 PM,11/3/2023,,34.5,1306.5,5:22:00 PM,11/4/2023,
ACAM,BRHO,100,50_50,3,0.45,0.45,441.2,582.7,28.5,1050.3,6.9,5:39:00 PM,11/02/2023,41.2,43.1,1252.1,8:59:00 AM,11/3/2022,35.4,1232.5,4:37:00 PM,11/3/2023,,33.7,1215.8,5:23:00 PM,11/4/2023,
ACAM,BRHO,100,50_50,4,0.45,0.45,488.4,594.2,29.2,1109.3,7.9,5:39:00 PM,11/02/2023,44.8,44.7,1355.3,9:01:00 AM,11/3/2022,36.8,1328.7,4:31:00 PM,11/3/2023,,33.6,1305.4,5:25:00 PM,11/4/2023,
ACAM,BRHO,100,50_50,5,0.45,0.45,449.2,576.8,30.5,1056.1,6.7,5:39:00 PM,11/02/2023,45,40.8,1268.8,9:03:00 AM,11/3/2022,37.1,1248.8,4:32:00 PM,11/3/2023,,35.3,1228.7,5:26:00 PM,11/4/2023,
ACAM,BRHO,0.75,75_25,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,75_25,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,